iter	Passed	Remaining
0	0	781
1	1	679
2	1	582
3	2	566
4	2	546
5	3	590
6	4	575
7	4	615
8	5	612
9	6	608
10	6	614
11	7	611
12	7	606
13	8	609
14	9	607
15	10	620
16	10	616
17	11	615
18	11	615
19	12	614
20	13	633
21	14	634
22	14	625
23	15	617
24	15	610
25	16	612
26	16	611
27	17	608
28	18	609
29	18	602
30	19	603
31	19	602
32	20	605
33	21	599
34	21	596
35	22	591
36	22	589
37	23	587
38	23	587
39	24	589
40	25	587
41	25	582
42	26	580
43	26	580
44	27	580
45	28	581
46	28	581
47	29	578
48	29	573
49	30	571
50	30	571
51	31	570
52	31	570
53	32	569
54	32	566
55	33	566
56	34	567
57	34	565
58	35	562
59	35	561
60	36	557
61	36	557
62	37	557
63	38	556
64	38	555
65	39	554
66	39	553
67	40	554
68	40	553
69	41	552
70	42	553
71	42	552
72	43	552
73	44	551
74	44	549
75	45	547
76	45	546
77	46	544
78	46	543
79	47	543
80	47	541
81	48	541
82	48	536
83	49	534
84	50	540
85	50	540
86	51	545
87	52	545
88	53	546
89	53	545
90	54	544
91	54	542
92	55	540
93	56	541
94	56	541
95	57	542
96	58	541
97	58	540
98	59	538
99	59	537
100	60	536
101	60	534
102	61	533
103	62	534
104	62	533
105	63	532
106	63	531
107	64	529
108	64	528
109	65	527
110	66	528
111	66	530
112	67	529
113	68	529
114	68	528
115	69	528
116	69	526
117	70	526
118	70	524
119	71	523
120	72	524
121	72	524
122	73	524
123	74	523
124	74	522
125	75	522
126	75	520
127	76	519
128	76	518
129	77	518
130	77	516
131	78	517
132	79	517
133	79	516
134	80	515
135	81	516
136	81	515
137	82	514
138	83	514
139	83	514
140	84	513
141	84	512
142	85	511
143	85	510
144	86	508
145	86	507
146	87	507
147	88	507
148	88	506
149	89	506
150	89	504
151	90	503
152	90	502
153	91	501
154	91	500
155	92	498
156	92	498
157	93	497
158	94	498
159	94	497
160	95	495
161	95	493
162	95	492
163	96	490
164	96	489
165	97	487
166	97	486
167	98	485
168	98	484
169	99	483
170	99	483
171	100	483
172	100	482
173	101	481
174	101	480
175	102	479
176	103	479
177	103	477
178	103	476
179	104	475
180	104	473
181	105	472
182	105	470
183	105	469
184	106	468
185	106	466
186	107	466
187	107	465
188	108	464
189	108	463
190	109	462
191	109	461
192	110	460
193	110	458
194	110	457
195	111	456
196	111	455
197	112	454
